order,ObjectID,ObjectName,CollectionID,Collection,DateBeginYear,DateEndYear,DateText,Title,Classification,Creator,PrimaryImage
1476,18354,albums (books); watercolors,7,18th and 19th Century Art,1855,1859,1855-1859,Indian Girl,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2453.35_Fnt_DD_KI13.jpg
1477,18355,oil paintings (visual works); panel paintings,8,Renaissance and Baroque Art,1508,1532,ca. 1520,The Holy Family with Angels,Painting & Drawing,"Defendente Ferrari (Italian, active ca. 1500-1535)",http://static.thewalters.org/images/PL9_37.711_Fnt_SL.jpg
1478,18380,paintings,65,South and Southeast Asian Art,1701,1900,18th-19th century,"Vessantara Jataka, Chapter 11: Jujaka and the Royal Children are Brought to King Sanjaya",Painting & Drawing,Thai,http://static.thewalters.org/images/PS1_35.146_Fnt_DD_T12.jpg
1479,18395,paintings; oil paintings,7,18th and 19th Century Art,1839,1839,1839,English Barnyard,Painting & Drawing,"John (Jock) Wilson, R.S.A. (Scottish, 1774-1855)",http://static.thewalters.org/images/PL2_37.211_Fnt_BW_H78.jpg
1480,18402,drawings (visual works),7,18th and 19th Century Art,0,0,n.d.,"Study for ""Diogenes""",Painting & Drawing,"Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me (French, 1824-1904)",http://static.thewalters.org/images/PL1_37.2765_Fnt_TR_T02.jpg
1481,18408,watercolors (paintings),7,18th and 19th Century Art,1860,1860,1860,Red Clover with Butter-and-Eggs and Ground Ivy,Painting & Drawing,"William Trost Richards (American, 1833-1905)",http://static.thewalters.org/images/PL1_37.1564_Fnt_TR_T88III.jpg
1482,18427,oil paintings (visual works); panel paintings; tondi,8,Renaissance and Baroque Art,1501,1600,16th century,Christ Carrying the Cross,Painting & Drawing,"Workshop of Garofalo (Italian, 1481-1559)",http://static.thewalters.org/images/PL7_37.430_Fnt_BW.jpg
1483,18445,paintings,8,Renaissance and Baroque Art,1650,1655,1650-1655,Two Boys in a Landscape,Painting & Drawing,"Herman Mijnert Donker (Dutch, ca. 1620-1656)",http://static.thewalters.org/images/PL9_37.2502_Fnt_SL.jpg
1484,18453,panel paintings,8,Renaissance and Baroque Art,1488,1512,ca. 1500,The Crucifixion,Painting & Drawing,"Gerino da Pistoia (Italian, born 1480, active 1506-1509)",http://static.thewalters.org/images/PL7_37.454_Fnt_BW.jpg
1485,18458,color woodcuts,1,East Asian Art,1899,1899,1899,Nogaku zue,Prints,"Sakamaki Kogyo (Japanese, 1869-1927)",http://static.thewalters.org/images/PS3_95.284_Fnt_DD_JP091.jpg
